"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"5/26/2024 4 p.m. EDT",45927.85,63541.85,35188.23,3392.63,1603,207532.03,78749.05,92655
US48,"5/26/2024 5 p.m. EDT",46454.15,61477.76,36418.67,3916.17,1671,214167.06,78435.2,92703
US48,"5/26/2024 6 p.m. EDT",46481.08,56725.03,38485.81,4583.86,1799,222748.26,79109.59,92878
US48,"5/26/2024 7 p.m. EDT",46181.67,49432.33,40194.12,5196.67,2315,224669.32,78466,92939
US48,"5/26/2024 8 p.m. EDT",44382.49,39225.18,41177.64,5870.74,2125,227852.52,79525.36,92966
US48,"5/26/2024 9 p.m. EDT",42767.56,28343.71,40987.69,6286.98,1954,228574.26,79403.8,93161
US48,"5/26/2024 10 p.m. EDT",39942.4,17321.84,40328.3,8244.72,1556,229087.02,79707.92,93454
US48,"5/26/2024 11 p.m. EDT",40958.55,9316.68,40098.89,9494.76,1075,217743.52,77321.8,93790
US48,"5/27/2024 12 a.m. EDT",40115.25,2230.02,38220.7,12619.11,326,204414.26,75549.4,91753
US48,"5/27/2024 1 a.m. EDT",42074.92,757.21,36346.01,12854,373,187732.26,66500.68,94043
US48,"5/27/2024 2 a.m. EDT",41445.92,541.35,34746.55,11340.82,307,176341.96,62234.33,94145
US48,"5/27/2024 3 a.m. EDT",41755.09,279.31,31512.93,9075.56,308,167889.18,60115.87,94196
US48,"5/27/2024 4 a.m. EDT",42165.23,292.88,29318.05,6878.54,311,159688.26,57052.01,94239
US48,"5/27/2024 5 a.m. EDT",40748.39,260.81,28055.3,6727.74,313,158393.76,55790.81,94244
US48,"5/27/2024 6 a.m. EDT",40087.71,412.72,28034.53,6097.8,317,159094.07,55238.19,94300
US48,"5/27/2024 7 a.m. EDT",38571.21,1685.48,28404.58,5849.96,320,157912.16,56313.27,94346
US48,"5/27/2024 8 a.m. EDT",37896.47,5064.08,30101.58,6379.46,316,158316.28,57006.99,94296
US48,"5/27/2024 9 a.m. EDT",35226.67,15352.49,31838.94,6242.18,311,159931.26,58546.5,94256
US48,"5/27/2024 10 a.m. EDT",31551.73,31196.44,32194.81,7017.13,1186,164395.06,58788.44,94195
